0  5815219
4  4652674
8  4648167
12  4650123
16  4650155
20  4650233
24  4654341
28  4640962
32  4638045
36  4629759
40  4625265
44  4618370
48  4633563
52  4649429
56  4657552
60  4679952
64  4677528
68  4677480
72  4667062
76  4664461
80  4649883
84  4654101
88  4648535
92  4636503
96  4644248
100  4643163
104  4638499
108  4622013
112  4617969
116  4622372
120  4616932
124  4616538
128  4595008
132  4582116
136  4585318
140  4597082
144  4595504
148  4586839
152  4566920
156  4572767
160  4574981
164  4564619
168  4549402
172  4552899
176  4564077
180  4547512
184  4561262
188  4572141
192  4554025
196  4552059
200  4565443
204  4581590
208  4577759
212  4573865
216  4577076
220  4563773
224  4544735
228  4538249
232  4532136
236  4530021
240  4523016
244  4516213
248  4507277
252  4500686
256  4501641
260  4503976
264  4505155
268  4497618
272  4509141
276  4509315
280  4501299
284  4504571
288  4485288
292  4491786
296  4507938
300  4489269
304  4483795
308  4472880
312  4472897
316  4480834
320  4481866
324  4491719
328  4495800
332  4517828
336  4538938
340  4537646
344  4512102
348  4494873
352  4491557
356  4494442
360  4506871
364  4499979
368  4498593
372  4516055
376  4518221
380  4516884
384  4502681
388  4500787
392  4514202
396  4510971
400  4507151
404  4508610
408  4513322
412  4516574
416  4524740
420  4519442
424  4512354
428  4512461
432  4515118
436  4516836
440  4503420
444  4520439
448  4543559
452  4552423
456  4537226
460  4509494
464  4509640
468  4519157
472  4526626
476  4533054
480  4533329
484  4541404
488  4545824
492  4542545
496  4546018
500  4562323
504  4566438
508  4558157
512  4559132
516  4564206
520  4556747
524  4556496
528  4560942
532  4552920
536  4529470
540  4520233
544  4515533
548  4500739
552  4503491
556  4502424
560  4515194
564  4522356
568  4512478
572  4498419
576  4468983
580  4436961
584  4418187
588  4434026
592  4434662
596  4450599
600  4462079
604  4479874
608  4480277
612  4476929
616  4465203
620  4492590
624  4513088
628  4527843
632  4565092
636  4566630
640  4554982
644  4570616
648  4587449
652  4602289
656  4628602
660  4624538
664  4614569
668  4616108
672  4603832
676  4577497
680  4576061
684  4617479
688  4663692
692  4656618
696  4655957
700  4643072
704  4626151
708  4606278
712  4577381
716  4549287
720  4545709
724  4557199
728  4546264
732  4493322
736  4529537
740  4549329
744  4549998
748  4585188
752  4577326
756  4571847
760  4591163
764  4598563
768  4578127
772  4568045
776  4543670
780  4524101
784  4526505
788  4510797
792  4513273
796  4507802
800  4505884
804  4472042
808  4441303
812  4471674
816  4499560
820  4510784
824  4565682
828  4561363
832  4559408
836  4585492
840  4558055
844  4541588
848  4552690
852  4530687
856  4463848
860  4453515
864  4449953
868  4450629
872  4505281
876  4516348
880  4508033
884  4507373
888  4606583
892  4667732
896  4845464
